username,ticker,commodity,post_time_utc,content,pct_change_5m,pct_change_15m,pct_change_30m,like_count,retweet_count,post_url,llm_sentiment,llm_tweet_type,llm_mechanism,llm_confidence,llm_reasoning,llm_price_move,llm_prediction,llm_pred_reason
PeterSchiff,SI=F,Silver,2026-03-23 10:36:07+00:00,"If you were bullish on gold before the war, you should be more bullish now. The war means soaring U.S. budget deficits, skyrocketing food &amp; energy prices, recession, rising unemployment, collapsing stock, bond, &amp; real estate prices, increased terrorism, and a financial crisis.",0.0783133170756129,0.6421357430032715,8.551290861323414,3137,362,https://x.com/PeterSchiff/status/2036029218480369835,BULLISH,GEOPOLITICAL,RISK_SENTIMENT,HIGH,"The U.S. budget deficit and financial crisis in the tweet indicate reduced investor confidence, leading to decreased demand for gold as a hedge against inflation. As silver is often seen as a substitute for gold during economic stress, its price may rise as investors seek alternatives during tough times.","Silver futures rose by 8.5513% due to the tweet's mention of soaring U.S. budget deficits and financial crisis, which reduced investor confidence in the dollar. This decline in gold demand as a hedge against inflation caused silver prices to rise as a substitute for gold during tough times.",BULLISH,The increased risk of silver's price movement due to geopolitical stress suggests a potential bullish trend over the next few hours.
EnergyIntel,CL=F,Crude Oil (WTI),2026-03-09 05:30:01+00:00,"The Qatari #energy minister warns that the world is underestimating the magnitude of the disruptions to both #oil and #LNG supplies taking shape in the latest #Mideast #war... Read more &gt;
https://t.co/sddaYXfoGu",-1.5710165073701814,-2.7169415638855865,-6.718414845740071,3,2,https://x.com/EnergyIntel/status/2030878754034135087,BEARISH,POLICY,RISK_SENTIMENT,MEDIUM,"The Qatari energy minister's warning of supply disruptions due to the Mideast War presents a negative outlook for Crude Oil (WTI) futures, signaling potential price reductions as market participants adjust their strategies. This risk sentiment would likely lead traders to sell more and buy less, causing Crude Oil futures to fall in the 6.7184% move observed after the tweet.","The 6.7184% decline in Crude Oil (WTI) futures can be attributed to the Qatari energy minister's warning of supply disruptions from the Mideast War, which introduces uncertainty into global oil supplies and price dynamics. Traders are priced on this risk sentiment, expecting potential reductions as market participants adjust their strategies.",NEUTRAL,The tweet provides a negative outlook but does not predict a clear outcome for Crude Oil (WTI) futures in the near term.
PeterSchiff,GC=F,Gold,2026-03-23 10:36:07+00:00,"If you were bullish on gold before the war, you should be more bullish now. The war means soaring U.S. budget deficits, skyrocketing food &amp; energy prices, recession, rising unemployment, collapsing stock, bond, &amp; real estate prices, increased terrorism, and a financial crisis.",0.0633997490608124,0.2582765907490021,4.684198168584175,3137,362,https://x.com/PeterSchiff/status/2036029218480369835,BEARISH,GEOPOLITICAL_RISK,RISK_SENTIMENT,MEDIUM,"The tweet discusses economic policies (budget deficits, recession) that could negatively impact gold prices. Traders may sell gold if they expect a decline due to supply-side risks from rising costs or reduced demand. The rise in food and energy prices are seen as supply-side issues that could reduce the demand for gold, leading to an upward move in its price.","The tweet highlights economic factors (budget deficits, recession) that could negatively impact gold prices. Rising food and energy prices are seen as supply-side risks, potentially reducing demand for gold. This leads traders to sell gold if they expect a decline due to these risks. The 4.68% rise in gold futures reflects increased uncertainty and potential selling pressure from expected economic downturns.",NEUTRAL,"The tweet provides some context about economic factors that could impact gold prices, but it is speculative and not directly related to the movement of gold futures. There is no strong evidence to predict a specific direction for gold in the near term."
CNBC,CL=F,Crude Oil (WTI),2026-04-21 19:24:13+00:00,Analysis: Warsh emerges from a difficult hearing with his Fed 'regime-change' plan intact https://t.co/UKGUbybn1I,0.5317959213728629,3.7678229628208144,3.8470260596748505,9,2,https://x.com/CNBC/status/2046671363604091283,BULLISH,POLICY,MONETARY_POLICY,HIGH,"The Fed's 'regime-change' plan likely reduces inflationary pressures, shifting public sentiment toward safer commodities like Crude Oil. Traders may buy more Crude Oil as they anticipate reduced costs or increased demand for energy supplies in response to the policy change.","The 3.8470% rise reflects traders' expectation of reduced inflationary pressures and increased demand for safe assets, with the Fed's cautious monetary policy likely supporting Crude Oil prices.",BULLISH,"A cautious Fed move could support Crude Oil prices in the near term, with further upside expected if inflationary concerns remain."
EnergyIntel,CL=F,Crude Oil (WTI),2026-03-09 13:30:09+00:00,"The spiraling #war in the #Mideast and its impacts on #energymarkets is making mincemeat of the Trump administration's promise to lower #domestic #energy costs... Read more &gt;
https://t.co/scxXdpY1rJ",0.6556400341745163,1.664314641957915,3.8027075808662727,0,0,https://x.com/EnergyIntel/status/2030999584571310085,BULLISH,GEOPOLITICAL,GEOPOLITICAL_RISK,HIGH,"The tweet discusses a spiraling conflict in the Middle East, which could lead to increased demand for energy supplies. The mention of Trump's promise to lower domestic energy costs may also influence consumers and businesses buying more Crude Oil (WTI).","The war in the Middle East is a geopolitical event that impacts global energy markets. The spiraling conflict can increase supply chain risks, leading to increased demand for Crude Oil (WTI) as consumers and businesses seek alternatives or face price pressures. Additionally, Trump's promise to lower domestic energy costs may influence consumer behavior, potentially increasing demand for Crude Oil in the short term.",BULLISH,"The tweet highlights a geopolitical event that could lead to increased demand for Crude Oil (WTI), making it a positive indicator of potential price movement."
OPECSecretariat,CL=F,Crude Oil (WTI),2026-03-09 09:10:29+00:00,On #InternationalWomensDay OPEC honours the ongoing contributions of women in the energy industry. https://t.co/9AgbXDd9Tm,-0.8947657767709792,-4.337676617107756,-3.676326386419114,13,6,https://x.com/OPECSecretariat/status/2030934237293969866,BULLISH,POLICY,SAFE_HAVEN,MEDIUM,"The tweet highlights OPEC's positive policy influence by emphasizing women's contributions in leadership roles, which could indirectly affect Crude Oil (WTI) demand. Traders might buy more Crude Oil as supply increases due to these positive social policies.","Women's contributions in leadership roles are often seen as a positive signal for the energy sector, potentially increasing supply or demand for Crude Oil (WTI). This could lead to a fall in Crude Oil prices as supply increases or demand grows. The 3.6763% decline reflects traders' expectation of increased demand due to these policy influences.",BEARISH,"Women's contributions in leadership roles are seen as positive signals for the energy sector, which could lead to an increase in supply or demand for Crude Oil (WTI). This could result in a bearish prediction for Crude Oil prices over the next few hours."
FT,CL=F,Crude Oil (WTI),2026-04-21 19:29:03+00:00,Warsh sidesteps questions over Trump’s influence on Fed rate policy https://t.co/8YVOczHzSG,1.3731021290433325,2.9600505660993663,3.26392974190492,30,5,https://x.com/FT/status/2046672583756530044,BULLISH,POLICY,RISK_SENTIMENT,,"The tweet discusses potential Fed policy impacts on Crude Oil prices, which can influence Crude Oil demand or supply. Lower interest rates typically make Crude Oil more attractive to consumers and businesses, potentially driving up prices. However, the link does not directly mention production cuts or supply changes, making it indirect.",,,
elerianm,CL=F,Crude Oil (WTI),2026-03-31 16:16:14+00:00,"The February JOLTS data confirms that the US labor market was already softening on the eve of the US-Israeli attack on Iran:
Job vacancies fell more sharply than expected, sliding from 7.24 million to 6.88 million, while hiring cooled to levels not seen in six years.
#economy #jobs #employment",0.0286493931421717,-1.442080173271996,-2.88415306033007,109,19,https://x.com/elerianm/status/2039013911115055279,BULLISH,SUPPLY_SHOCK,GEOPOLITICAL_RISK,HIGH,"The tweet highlights reduced hiring and job losses in the US labor market, signaling economic softening. This decline in demand for crude oil futures can lead to price falls as businesses delay purchases due to supply constraints.","The falling WTI futures reflect reduced hiring and job losses, indicating a shift in the US labor market that could impact oil prices by reducing demand and increasing supply risks.",NEUTRAL,"While the tweet suggests a softening economy, other factors like geopolitical tensions or supply shocks also influence Crude Oil (WTI) prices. The link is indirect but significant enough to warrant some consideration."
elerianm,CL=F,Crude Oil (WTI),2026-03-24 19:59:48+00:00,"A view from the energy industry:
Roughly 15% of TotalEnergies’ production is offline, as the war with Iran nears the one-month mark, but surging oil prices have more than made up for the lost barrels, chairman and CEO Patrick Pouyanné told CNBC in an exclusive interview....
“The Brent market is ok, but the products market, which is the one which impacts customers … is much higher than Brent,” he told CNBC .... He added, the world has “never experienced” refining margins from products including Asian jet fuel at current levels.""
#economy #energy #markets #middleeastwar",0.0871384742207729,-0.5228142253600715,-2.8319339323168564,213,35,https://x.com/elerianm/status/2036533459620078001,NEUTRAL,OTHER,INDIRECT,LOW,"The tweet discusses production cuts and refining margins affecting product markets, which could lead traders to adjust their buying/selling strategies for Crude Oil (WTI) based on expected supply/demand dynamics.","The fall in Crude Oil (WTI) futures is likely due to increased production cuts and reduced refining margins across other energy products, which may impact global supply and demand patterns.",NEUTRAL,"There is no direct link between the tweet and Crude Oil (WTI) price movements, making it unlikely for there to be a significant change in Crude Oil (WTI) prices over the next few hours."
GoldSeek,SI=F,Silver,2026-03-23 07:27:20+00:00,"🔥 Silver prices getting smashed towards $60/ounce with gold before London opens up their markets…

This is a major flush-out move underway. Not driven by fundamentals, an intense paper game underway which will accelerate the demise of thin and thinning silver inventories. https://t.co/qUqvRbMp7y",0.3427389672514349,1.5941336000276811,2.630316791363424,236,29,https://x.com/GoldSeek/status/2035981705891172474,BULLISH,SUPPLY_SHOCK,INDIRECT,MEDIUM,"The tweet highlights a major shift in market dynamics driven by gold opening up, which impacts silver indirectly. Silver's price movement reflects traders' expectation of reduced supply as gold moves ahead.","Silver futures rose by 2.63% due to a significant shift in market sentiment and expectations following the opening of gold markets. The flush-out move is driven by gold's potential to increase demand, which could lead to reduced silver inventories.",BULLISH,"Silver's price movement reflects traders' expectation of supply dynamics influenced by gold's opening up. While the shift may have some short-term effects, other factors could impact the outcome."
KitcoNewsNOW,SI=F,Silver,2026-03-23 12:53:24+00:00,"Gold, silver down but well up from daily lows

Gold and silver prices are sharply down but well up from their overnight lows that saw gold hit a four-month low and silver a 3.5-month low. News from President Trump that the Iran war may be de-escalating roiled the marketplace with big price gyrations in many markets, including gold and silver. 

Still, the metals markets are seeing underlying selling pressure amid global inflation worries and a strong U.S. dollar. April #gold was last down $205.40 at $4,369.10. May #silver prices were down $2.009 at $67.63.

Latest on the war in #IranWar‌ 

Full story at Kitco:
https://t.co/ocs4C91pzG",-1.3929793795445895,-0.962168130660896,-2.534643980042508,10,4,https://x.com/KitcoNewsNOW/status/2036063766547235321,BEARISH,GEOPOLITICAL,GEOPOLITICAL_RISK,MEDIUM,"The tweet highlights that gold and silver prices are down but up from lows, citing the Iran War as a reason. This suggests that geopolitical tensions, particularly the potential escalation of the Iran War, may lead to selling pressure in the markets, which could result in a bearish sentiment towards Silver.","Gold and silver prices fell by 2.5346% due to selling pressure from geopolitical events related to the Iran War. The tweet indicates that fears about the war have caused selling pressure, leading to a decline in prices despite recent price gyrations in other markets. This selling pressure could lead to further declines in Silver's price as traders sell the metals during inflation concerns.",BEARISH,"The fall in Silver's price is likely due to selling pressure from geopolitical events, which may continue to impact the market in the coming hours. The bearish sentiment towards Silver could persist as traders remain cautious amid inflation worries and rising U.S. dollar strength."
EnergyIntel,NG=F,Natural Gas,2026-03-09 05:30:01+00:00,"The Qatari #energy minister warns that the world is underestimating the magnitude of the disruptions to both #oil and #LNG supplies taking shape in the latest #Mideast #war... Read more &gt;
https://t.co/sddaYXfoGu",-0.0293405963318797,-0.8802808526094661,-2.4941325803186585,3,2,https://x.com/EnergyIntel/status/2030878754034135087,BEARISH,POLICY,RISK_SENTIMENT,LOW,"The Qatari energy minister warning about supply disruptions during a Mideast war creates uncertainty, leading traders to sell their natural gas positions as they anticipate potential price drops. The policy-related risks make this tweet an indirect indicator of market sentiment towards natural gas.","The 2.4941% fall in natural gas futures reflects increased uncertainty and supply disruptions from the Mideast war, which are policy-related risks that traders consider when evaluating market conditions.",BEARISH,"The weak link of the tweet to natural gas price movements, focusing on policy risks, suggests a bearish outlook despite potential risks."
elerianm,CL=F,Crude Oil (WTI),2026-04-07 20:47:19+00:00,"The @WSJ chart on the average price of gas (petrol) in the US.
(The one for diesel looks worse.)
#economy #oil #energy #markets https://t.co/PJlkvsUPkZ",-0.6304075755269858,-2.485592681442893,-2.485592681442893,131,23,https://x.com/elerianm/status/2041618849917755550,BEARISH,MARKET_COMMENTARY,INDIRECT,MEDIUM,"The tweet discusses gas price comparisons, which are components of Crude Oil production. Traders may sell Crude Oil if diesel prices are worse due to increased fuel costs. The comment reflects market commentary on energy pricing impacting Crude Oil futures.","The comparison between petrol and diesel prices suggests higher fuel costs for consumers, potentially affecting Crude Oil demand as producers might hold more WTI or face higher costs. This leads to a decrease in Crude Oil supply, causing futures to fall. The 2.4856% drop reflects immediate buying pressure from increased fuel costs.",BEARISH,"The tweet highlights increased fuel costs due to worse diesel prices, which traders may interpret as reduced demand for Crude Oil. This leads to a bearish prediction for Crude Oil (WTI) in the near term."
